agente,episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
SAC,4,2620659.9102842044,1086097.0713096107,1534562.8389745932,-0.40330863346727835,-0.19273004042973363,289.20758621203845,287.509063760623,0.930522815073575,2965.80888852324,0.0,,275307.63407485,2416141.659131843,7615457.777805674,608952.9618996903,275307.63407485
SAC,5,2438417.706569656,735465.2814409251,1702952.425128731,-0.39649780285134406,-0.16976236865232508,254.74255674265947,280.0963749677688,0.9159825475898524,2839.0681254754018,0.0,,240290.46312422492,2439716.072296644,7433324.563125643,531498.4806994579,240290.46312422492
SAC,6,2349029.1314719226,487924.19699977874,1861104.9344721439,-0.3956324851211181,-0.14993729960813126,224.9930123836145,273.59930595122603,0.8898303096274636,2695.452115778566,0.0,,232501.8831917245,2421217.191200776,7439418.192324687,514270.9205744846,232501.8831917245
SAC,7,2306524.129293817,385065.6816437924,1921458.4476500247,-0.3888532066993273,-0.15097849150364567,226.53636964350332,276.7440762790505,0.8980127851663989,2773.819491732953,0.0,,231277.22394951244,2418901.832256278,7423561.425596829,511562.09676954756,231277.22394951244
SAC,8,2298370.2582235164,371139.2497692277,1927231.0084542888,-0.38744417208453535,-0.15314333878697242,229.7750236843729,280.270699065837,0.9044861237444674,2686.140329559352,0.0,,231869.86162820933,2419141.191049308,7413187.674403858,512872.9520641657,231869.86162820933
SAC,9,2296494.1096241022,372182.557879615,1924311.5517444871,-0.3870745345874793,-0.15277072418060186,229.20848235619908,280.81926302385983,0.9069585603624979,2742.3204930361157,0.0,,231554.04694475813,2419197.746200591,7405436.019663748,512174.4015588545,231554.04694475813
SAC,10,2296232.7110651135,374159.2927355453,1922073.4183295686,-0.3870671234819164,-0.1534184555096687,230.1573249172139,281.8419162380105,0.9112863587741833,2738.052189985001,0.0,,230025.6030626796,2422189.4429569137,7402043.019557809,508793.6365022774,230025.6030626796
SAC,11,2281189.3492695726,338843.64763643895,1942345.7016331335,-0.3843955188303808,-0.15342311766164224,230.18426671398444,282.3513727033698,0.9149615595811132,2722.650915651516,0.0,,229544.5952904088,2417984.9326887806,7395056.851256306,507729.6954001522,229544.5952904088
SAC,12,2265734.2305744933,287617.0300251576,1978117.2005493357,-0.38177402133755867,-0.15379472249299692,230.7816391450152,285.12133832433796,0.9150217980470364,2713.2701765229804,0.0,,230130.83140940368,2417151.779120137,7406753.821984574,509026.3910847239,230130.83140940368
SAC,13,2241835.8982580593,227351.23784516507,2014484.6604128943,-0.37755973462496045,-0.1535902134719972,230.44002629204272,284.0177582122727,0.9185950779639223,2726.656515665175,0.0,,226952.54569173747,2417186.014544942,7400912.287271824,501996.3408355175,226952.54569173747
SAC,14,2225599.1527863024,191746.99116434556,2033852.161621957,-0.3748949449754053,-0.15365107641737275,230.55183707140165,283.93696744654426,0.9179757256183977,2732.010269169584,0.0,,226052.96176073968,2423411.8317307727,7390198.079651792,500006.5511186456,226052.96176073968
SAC,15,2218025.206058342,172925.07626495778,2045100.1297933846,-0.3732475075253033,-0.1528413109121908,229.3119291968715,284.6251531001848,0.9163480151015972,2754.1051298335524,0.0,,226066.8185306259,2421544.5027890946,7387995.979805184,500037.20090826345,226066.8185306259
SAC,16,2222475.6960459584,187038.49909964052,2035437.1969463178,-0.37374022189460737,-0.15259830524749696,228.96488256384401,283.7834923501544,0.9160195914863858,2744.7327070511164,0.0,,224739.60246577216,2424324.2186501604,7385433.35615512,497101.53166505677,224739.60246577216
SAC,17,2239693.163635093,238904.16565997538,2000788.9979751175,-0.37607928997921575,-0.15250249926272016,228.8106599825867,284.8526527074319,0.9176758830111482,2661.8368922632194,0.0,,224730.63752412863,2425738.453716807,7378973.001492402,497081.70211043715,224730.63752412863
SAC,18,2278636.6166394306,340396.440096729,1938240.1765427014,-0.38210528295127383,-0.15277204023919205,229.19908776188527,284.74506273866933,0.9194410045948429,2678.1776952992427,0.0,,224444.07316700355,2421487.8094436005,7384341.482244585,496447.85040257365,224444.07316700355
SAC,19,2339442.7745819865,505507.56277722825,1833935.2118047578,-0.3909756032790458,-0.15330988418151217,230.03112793260757,284.78842779241097,0.9188619821314921,2724.715680922008,0.0,,225151.122259746,2424019.5973940785,7384335.773962373,498011.7723064499,225151.122259746
SAC,20,2425443.1075074086,739002.5256336078,1686440.5818738006,-0.39725719743469695,-0.1534880212736928,230.2902658417838,284.2647386554513,0.9182983895198964,2714.9764637140324,0.0,,224878.6763751589,2425644.2847971004,7384362.593606713,497409.1492483054,224878.6763751589
SAC,21,2524593.518745605,1005817.2428767127,1518776.2758688922,-0.4012974734638894,-0.15301686880310547,229.59239319069056,284.33504926460563,0.9198969364180666,2692.5017423137683,0.0,,225032.06614196725,2425873.69080724,7387403.604834342,497748.43207690166,225032.06614196725
SAC,22,2631395.9098170092,1300300.7448034263,1331095.1650135831,-0.4001826211516987,-0.15222143349529776,228.38675092430765,283.4339237000139,0.9152680363718091,2699.4669286122867,0.0,,225095.8463769332,2423433.1550309337,7381740.921977623,497889.50758003356,225095.8463769332
SAC,23,2723764.9757664804,1551920.2688655914,1171844.706900889,-0.39569478813684056,-0.1525771953966725,228.91288018404146,285.4589820074526,0.9175145024846939,2709.1065205675186,0.0,,223477.45105070475,2428183.968969427,7380717.477488219,494309.77892215166,223477.45105070475
SAC,24,2785215.3035604483,1715287.730490496,1069927.573069953,-0.3879884406321308,-0.15215124894342158,228.28458379135026,285.244516489506,0.9167348539156014,2675.738084734204,0.0,,224615.12220753837,2426411.599544116,7385123.061107599,496826.19377911603,224615.12220753837
SAC,25,2796448.60424303,1751608.8650184688,1044839.739224561,-0.38448797707163423,-0.15271489433651012,229.12158449625278,284.7782351176525,0.9168560885448328,2729.154175497955,0.0,,223326.43925072803,2426952.2781920307,7377773.265719782,493975.75591844285,223326.43925072803
SAC,26,2739649.4463865915,1593390.8736825292,1146258.5727040623,-0.3866594801559852,-0.15297090753404874,229.5121457921492,285.39050443578043,0.9196031821696696,2704.165560889157,0.0,,222528.5859033822,2425862.2087551127,7382814.531358249,492210.9840818009,222528.5859033822
SAC,27,2629504.0343263233,1298751.2516648432,1330752.78266148,-0.3882050102725147,-0.1531778977924474,229.8289774191676,285.7895450582249,0.9206062719715128,2707.8111521714613,0.0,,223346.3532317734,2424495.0047805114,7377209.98368833,494019.8036535576,223346.3532317734
SAC,28,2519739.034773524,997349.8830409253,1522389.151732599,-0.3902665057148516,-0.15254186919108548,228.85612949178838,283.9495056694735,0.9196955728662233,2738.56255576515,0.0,,223386.74204881635,2428981.927241607,7381449.939247077,494109.1396788683,223386.74204881635
SAC,29,2408574.1212102924,700086.2021132533,1708487.919097039,-0.39114064463834247,-0.15242556705169596,228.6932484587217,285.3490466241457,0.9195136171720693,2722.2161094426983,0.0,,222563.7557093776,2428246.287504213,7375663.285983679,492288.7761764601,222563.7557093776
SAC,30,2314286.4276427203,444318.8074403356,1869967.6202023847,-0.3896218348871601,-0.15259945514552775,228.96193049036546,286.04775643109224,0.9193539727963769,2702.438186835356,0.0,,221856.90358573128,2430217.2691936283,7375345.741827056,490725.28994853195,221856.90358573128
SAC,31,2283345.340953418,360918.8871867012,1922426.4537667166,-0.3848648617099951,-0.15220257437263102,228.3566973227019,286.16778908738587,0.9193951196693034,2719.852423032661,0.0,,222999.9596524388,2426086.5086778286,7374569.98263895,493253.61568776553,222999.9596524388
SAC,32,2285544.8216494736,364361.78512899077,1921183.036520483,-0.3853142628228076,-0.15232547488944723,228.55696571557962,286.2134324615702,0.9171993856793144,2688.6781640575696,0.0,,223246.0193302261,2428377.1871583634,7377764.48086476,493797.87509450584,223246.0193302261
SAC,33,2287614.8133295467,370244.8995622002,1917369.9137673466,-0.385495806940693,-0.1528490082147183,229.36390263198814,286.16914413110084,0.9189408897344001,2784.490093019816,0.0,,222689.78964472705,2431013.865474087,7377432.976812202,492567.55064084724,222689.78964472705
SAC,34,2289099.8314799587,375514.10272586846,1913585.7287540901,-0.3858102891250506,-0.15206258521432633,228.16600188279943,285.5648433428739,0.9201719207962644,2711.4062954265382,0.0,,221771.3657602633,2431468.6345585827,7375870.746795231,490536.0888304873,221771.3657602633
SAC,35,2274202.465124162,337979.31487509614,1936223.1502490658,-0.38335225441930304,-0.1534496550475311,230.22419920533272,287.0686650225694,0.9201725633971096,2726.425514401238,0.0,,222697.62953143968,2429926.981464429,7372187.976012831,492584.8916864403,222697.62953143968
SAC,36,2253048.2950619385,279237.95026912517,1973810.344792813,-0.3797453423409342,-0.15271847098149743,229.15474254860675,286.7037900119713,0.9210214341946579,2719.6879839035364,0.0,,223393.80421523587,2427034.619460411,7373831.83094613,494124.7604849278,223393.80421523587
SAC,37,2231687.372825003,222203.06925549585,2009484.3035695073,-0.37605960809431016,-0.15269553779558073,229.09395296235053,286.9254762844846,0.9206369152372224,2740.184910793645,0.0,,221372.7259945976,2430519.2730980027,7372611.408895833,489654.3375239938,221372.7259945976
SAC,38,2218051.1921103774,182362.5226252066,2035688.6694851704,-0.37368754932721016,-0.15355000553660797,230.4196400392143,286.7829138238538,0.9205703696685014,2714.196881125039,0.0,,221820.2061333393,2428514.191937022,7376165.8131306525,490644.1188527744,221820.2061333393
SAC,39,2210267.8935366874,163878.62932262308,2046389.2642140642,-0.3720497462060969,-0.15278724703999663,229.24538074570677,286.3589772998384,0.9212854885307716,2725.141776415001,0.0,,222703.74959354044,2433314.6441209675,7372818.8577668,492598.4286519364,222703.74959354044
SAC,40,2219089.356411176,184918.85570221394,2034170.5007089619,-0.3730564474192885,-0.15376452748600755,230.72972753631538,286.38909788032373,0.9227603981291311,2712.4874018953574,0.0,,221594.99321422004,2430581.2896666545,7376497.45628924,490145.970391993,221594.99321422004
SAC,41,2237928.1480067736,239017.3337711199,1998910.8142356537,-0.3757615264150334,-0.153699341350571,230.6041712901759,286.5146885016823,0.9225061297368403,2782.075353938819,0.0,,221276.38085501344,2430006.4189811973,7372777.207051897,489441.23170761653,221276.38085501344
SAC,42,2276522.0668106633,342109.5882004943,1934412.478610169,-0.3818317983960636,-0.15350595609066361,230.32780047649837,287.608950131365,0.9232112616678068,2725.3647238784083,0.0,,221664.8980104368,2430625.6758253225,7374926.27217283,490300.59281229106,221664.8980104368
SAC,43,2337308.61066558,508825.40695376357,1828483.203711816,-0.3906088117379409,-0.1529037532703657,229.4101221695716,286.31648745512297,0.9224315209250203,2726.2726301463795,0.0,,221730.92491692345,2425573.520721664,7372826.605237597,490446.6377282094,221730.92491692345
SAC,44,2425020.832877971,746041.7699043147,1678979.0629736567,-0.3970100503787627,-0.1535018240729432,230.32416053118433,287.1467244984203,0.9235366750816492,2725.503000666329,0.0,,221338.4027824602,2429057.313311195,7374024.056992218,489578.41801030794,221338.4027824602
SAC,45,2525733.6084063295,1012258.9798182184,1513474.628588111,-0.40111011797251056,-0.1540199746997354,231.0903023327022,286.0306135482228,0.9235992481299565,2732.6576231635386,0.0,,222844.6567459024,2427272.2540811733,7383177.608741337,492910.10118536255,222844.6567459024
SAC,46,2631407.1497380435,1306091.1066600687,1325316.043077975,-0.39910900838062,-0.15316089169567143,229.85587982839056,286.683997553782,0.9228130971221435,2648.4254263849007,0.0,,221425.7817432297,2426251.4334624093,7374466.371121528,489771.69153556664,221425.7817432297
SAC,47,2723223.166691845,1556646.2731900564,1166576.8935017884,-0.39467120973883435,-0.15309276092698096,229.75523150456928,287.44491807291166,0.9243659440052674,2725.724854828222,0.0,,221035.293917734,2426196.171612226,7372890.584715783,488907.97150571557,221035.293917734
SAC,48,2783866.3905619364,1719474.5584855536,1064391.8320763828,-0.38701195104927905,-0.15316988820088479,229.86933655085915,285.28819152904674,0.9230666700443747,2723.801061533344,0.0,,221459.4105893326,2429196.232876121,7375209.289785014,489846.0751810055,221459.4105893326
SAC,49,2797244.76925393,1758035.1725999916,1039209.5966539384,-0.3833776535815402,-0.152933459089246,229.46005596241568,288.02023440542644,0.923774487447693,2723.329630741888,0.0,,221892.5554078932,2426699.1696193726,7372387.316746524,490804.14821476047,221892.5554078932
SAC,50,2735826.713747153,1591804.1926005236,1144022.52114663,-0.3858785354490766,-0.1529793034419444,229.5348306985224,286.65394718116636,0.9228711757350125,2777.814111664489,0.0,,221215.06770582177,2427391.3661573334,7371708.965443128,489305.6131515633,221215.06770582177
